,,,Date,,Salesman GK,,Amount
"Jan 1, '23 - Jun 11, 26",,,,,,,
,,,06/10/2026,,10669,,"239,769.00"
,,,06/10/2026,,,,"15,000.00"
,,,06/10/2026,,2133,,"43,000.00"
,,,06/10/2026,,0,,"2,000.00"
,,,06/10/2026,,678,,"14,178.00"
,,,06/10/2026,,,,"33,840.00"
,,,06/10/2026,,"5,472",,"96,384.00"
,,,06/09/2026,,78186,,"2,419,200.00"
,,,06/09/2026,,,,"33,000.00"
,,,06/09/2026,,,,"35,000.00"
,,,06/09/2026,,"3,223.5",,"56,900.00"
,,,06/09/2026,,"945,889.5",,"5,318,100.00"
,,,06/09/2026,,17598.75,,"176,175.00"
,,,06/08/2026,,3696.43,,"95,400.00"
,,,06/08/2026,,21847.08,,"229,947.00"
,,,06/08/2026,,,,"17,000.00"
,,,06/08/2026,,1210.5,,"13,308.00"
,,,06/08/2026,,27102,,"284,754.00"
,,,06/08/2026,,2500,,"15,000.00"
,,,06/08/2026,,54881.12,,"841,894.00"
,,,06/08/2026,,,,"44,944.00"
,,,06/08/2026,,"32,962.38",,"359,746.24"
,,,06/08/2026,,,,0.00
,,,06/05/2026,,62741.94,,"776,460.00"
,,,06/05/2026,,,,"36,900.00"
,,,06/05/2026,,2573.67,,"43,968.00"
,,,06/05/2026,,2800.62,,"48,165.00"
,,,06/05/2026,,4800,,"16,000.00"
,,,06/05/2026,,"20,700",,"434,700.00"
,,,06/05/2026,,9665.45,,"224,190.00"
,,,06/05/2026,,1300,,"27,300.00"
,,,06/05/2026,,"84,158.82",,"1,338,559.15"
,,,06/04/2026,,"196,310.92",,"1,470,318.06"
,,,06/04/2026,,"8,324.82",,"105,670.00"
,,,06/04/2026,,,,"158,760.00"
,,,06/04/2026,,,,"19,880.00"
,,,06/04/2026,,378,,"5,608.00"
,,,06/04/2026,,22650,,0.00
,,,06/04/2026,,,,"3,000.00"
,,,06/04/2026,,14785.37,,"199,332.76"
,,,06/04/2026,,2032,,"10,752.00"
,,,06/04/2026,,,,"7,000.00"
,,,06/04/2026,,47077.58,,"1,337,861.00"
,,,06/04/2026,,,,"17,696.00"
,,,06/03/2026,,"12,617",,"169,400.00"
,,,06/03/2026,,780,,"8,580.00"
,,,06/03/2026,,5842.46,,"53,776.00"
,,,06/03/2026,,94384.52,,"1,413,608.00"
,,,06/03/2026,,1000,,"12,536.00"
,,,06/02/2026,,71931.65,,0.00
,,,06/02/2026,,,,0.00
,,,06/02/2026,,5728.32,,"74,256.00"
,,,06/02/2026,,34945,,"219,600.00"
,,,06/02/2026,,34945,,"589,000.00"
,,,06/02/2026,,2014.52,,"21,704.00"
,,,06/02/2026,,,,"3,000.00"
,,,06/02/2026,,527.82,,"6,196.00"
,,,06/02/2026,,11600,,"69,600.00"
,,,06/02/2026,,2267.37,,"43,331.00"
,,,06/02/2026,,364,,"3,230.00"
,,,06/01/2026,,,,"4,500.00"
,,,06/01/2026,,,,"7,000.00"
,,,06/01/2026,,1547.19,,"45,729.00"
,,,06/01/2026,,,,"3,000.00"
,,,06/01/2026,,9971.74,,"57,720.00"
,,,06/01/2026,,"78,186",,"2,419,200.00"
,,,06/01/2026,,,,"30,000.00"
,,,06/01/2026,,78186,,"2,419,200.00"
,,,06/01/2026,,92901.14/5.7,,"1,608,713.00"
,,,06/01/2026,,,,"25,500.00"
,,,06/01/2026,,138030.36,,"78,000.00"
,,,06/01/2026,,7549,,"105,600.00"
,,,06/01/2026,,,,"11,200.00"
,,,06/01/2026,,91833,,"941,739.00"
,,,06/01/2026,,,,"35,000.00"
,,,05/29/2026,,749.2,,"8,840.00"
,,,05/29/2026,,504,,"13,104.00"
,,,05/28/2026,,5504,,"111,430.00"
,,,05/28/2026,,20528.49,,"231,383.00"
,,,05/28/2026,,,,"17,500.00"
,,,05/28/2026,,6%(2469.21),,"41,153.44"
,,,05/28/2026,,1559.39,,"27,879.39"
,,,05/28/2026,,104.01,,"86,700.00"
,,,05/28/2026,,104.01,,"26,250.00"
,,,05/28/2026,,3150,,"64,500.00"
,,,05/28/2026,,"147,152.84",,"1,930,010.00"
,,,05/28/2026,,12001.9,,"375,000.00"
,,,05/28/2026,,0,,"5,600.00"
,,,05/28/2026,,19534,,"276,064.00"
,,,05/28/2026,,19534,,"18,000.00"
,,,05/28/2026,,4905,,"53,160.00"
,,,05/26/2026,,"5,437.5",,"69,300.00"
,,,05/26/2026,,2770.4,,"34,180.00"
,,,05/26/2026,,,,"3,000.00"
,,,05/25/2026,,4788,,"64,820.00"
,,,05/25/2026,,595,,"9,095.00"
,,,05/25/2026,,7338.51,,"315,219.00"
,,,05/25/2026,,,,"33,300.00"
,,,05/25/2026,,,,"2,500.00"
,,,05/25/2026,,1355,,"27,375.00"
,,,05/25/2026,,2231,,"55,680.00"
,,,05/25/2026,,"1,356.3",,"12,852.00"
,,,05/25/2026,,,,540.00
,,,05/25/2026,,78186,,"2,419,200.00"
,,,05/25/2026,,,,"25,500.00"
,,,05/22/2026,,106491.65,,"1,483,800.00"
,,,05/22/2026,,,,"43,050.00"
,,,05/22/2026,,10650,,"205,880.00"
,,,05/22/2026,,,,"17,000.00"
,,,05/22/2026,,386.5,,"6,828.00"
,,,05/21/2026,,26915.61,,"343,689.00"
,,,05/21/2026,,0,,"10,500.00"
,,,05/21/2026,,29891.14,,"828,000.00"
,,,05/21/2026,,316,,"6,636.00"
,,,05/21/2026,,93,,"1,914.00"
,,,05/21/2026,,"1,862",,"19,872.00"
,,,05/21/2026,,"8,970",,"33,410.00"
,,,05/20/2026,,104256,,"2,419,200.00"
,,,05/20/2026,,,,"30,000.00"
,,,05/20/2026,,,,"27,000.00"
,,,05/20/2026,,2421,,"23,832.00"
,,,05/20/2026,,2421,,"10,800.00"
,,,05/20/2026,,"32,814.41",,"460,902.00"
,,,05/20/2026,,"8,080.8",,"321,869.96"
,,,05/20/2026,,,,"3,000.00"
,,,05/20/2026,,655.1,,"13,746.00"
,,,05/19/2026,,24560,,"1,399,680.00"
,,,05/19/2026,,"7,675.7",,"160,850.20"
,,,05/19/2026,,19382.4,,"345,000.00"
,,,05/19/2026,,"16,369.1",,"192,530.00"
,,,05/19/2026,,"14,292.57",,"134,790.00"
,,,05/19/2026,,"9,776.54",,"294,495.30"
,,,05/19/2026,,,,"6,720.00"
,,,05/19/2026,,"5,220.39",,"99,663.39"
,,,05/19/2026,,,,"3,360.00"
,,,05/19/2026,,5670,,"148,554.00"
,,,05/19/2026,,46846.8,,"1,384,110.00"
,,,05/19/2026,,5.04%(51171.58),,"1,014,895.00"
,,,05/19/2026,,6738.63,,"65,414.00"
,,,05/19/2026,,30624.4,,"776,160.00"
,,,05/19/2026,,30624.4,,"16,800.00"
,,,05/19/2026,,3000,,"15,000.00"
,,,05/18/2026,,"34,690",,"381,535.00"
,,,05/18/2026,,,,"161,280.00"
,,,05/18/2026,,,,"2,800.00"
,,,05/18/2026,,3150,,"7,000.00"
,,,05/18/2026,,,,"16,500.00"
,,,05/18/2026,,"159,429.57",,"2,194,548.00"
,,,05/15/2026,,5636,,"94,640.00"
,,,05/15/2026,,5636,,"12,000.00"
,,,05/15/2026,,57697.82,,"927,189.00"
,,,05/15/2026,,,,"15,000.00"
,,,05/15/2026,,786,,"24,840.00"
,,,05/15/2026,,786,,"3,000.00"
,,,05/14/2026,,10583.52,,"20,000.00"
,,,05/14/2026,,"93,729.29",,"1,179,205.00"
,,,05/14/2026,,2250,,"36,750.00"
,,,05/14/2026,,,,"3,000.00"
,,,05/14/2026,,602,,0.00
,,,05/14/2026,,189493.52,,"2,082,662.00"
,,,05/14/2026,,33600,,"302,400.00"
,,,05/14/2026,,27038.24,,"193,289.00"
,,,05/14/2026,,6484.59,,"56,056.00"
,,,05/14/2026,,2240,,"13,440.00"
,,,05/13/2026,,32400,,"212,400.00"
,,,05/13/2026,,"224,093.52",,0.00
,,,05/13/2026,,,,"14,000.00"
,,,05/13/2026,,"185,952",,"1,424,592.00"
,,,05/13/2026,,,,"14,000.00"
,,,05/13/2026,,26506,,"165,570.00"
,,,05/13/2026,,9294,,"339,969.00"
,,,05/12/2026,,"2,718.75",,"34,650.00"
,,,05/12/2026,,24407,,"450,884.00"
,,,05/12/2026,,,,"66,372.00"
,,,05/12/2026,,,,"11,500.00"
,,,05/12/2026,,18902.82,,"151,227.00"
,,,05/12/2026,,32120.44,,"378,320.00"
,,,05/12/2026,,,,"19,600.00"
,,,05/12/2026,,"10,703.39",,"118,853.00"
,,,05/12/2026,,19191.56,,0.00
,,,05/12/2026,,6308.5,,"84,700.00"
,,,05/12/2026,,52477.68,,"785,500.00"
,,,05/12/2026,,,,"39,000.00"
,,,05/12/2026,,"8,214",,"176,713.60"
,,,05/12/2026,,,,"12,000.00"
,,,05/12/2026,,54934.21,,"714,750.00"
,,,05/12/2026,,1000,,"16,000.00"
,,,05/12/2026,,1000,,"50,984.00"
,,,05/11/2026,,,,"1,000.00"
,,,05/11/2026,,540,,"7,320.00"
,,,05/11/2026,,"17,092.25",,"238,788.00"
,,,05/11/2026,,"8,058.6",,"99,677.00"
,,,05/11/2026,,400,,"9,165.00"
,,,05/11/2026,,614,,"14,118.00"
,,,05/11/2026,,1309.6,,"14,248.00"
,,,05/11/2026,,1309.6,,"3,000.00"
,,,05/11/2026,,13045.68,,"302,388.00"
,,,05/11/2026,,13045.68,,"13,000.00"
,,,05/09/2026,,"224,093.52",,"1,000.00"
,,,05/08/2026,,33314,,"581,718.00"
,,,05/08/2026,,78809.48,,"735,909.00"
,,,05/08/2026,,,,"27,160.00"
,,,05/08/2026,,118980,,"1,176,000.00"
,,,05/08/2026,,,,"43,700.00"
,,,05/08/2026,,"17,465",,"209,265.00"
,,,05/08/2026,,1675.33,,"59,812.00"
,,,05/08/2026,,,,"6,000.00"
,,,05/08/2026,,"14,378.46",,"193,050.00"
,,,05/08/2026,,,,"336,461.00"
,,,05/07/2026,,42142,,"362,700.00"
,,,05/07/2026,,600,,"2,800.00"
,,,05/07/2026,,189236.58,,"2,505,600.00"
,,,05/07/2026,,189236.58,,"30,000.00"
,,,05/07/2026,,340,,"3,680.00"
,,,05/07/2026,,9932.5,,"168,132.00"
,,,05/06/2026,,4633.71,,"29,600.00"
,,,05/06/2026,,4633.71,,"29,600.00"
,,,05/06/2026,,"9,120",,"160,640.00"
,,,05/06/2026,,"29,542.33",,"369,672.00"
,,,05/06/2026,,"4,353.57",,"111,055.00"
,,,05/06/2026,,17144.6,,"298,480.00"
,,,05/06/2026,,,,"10,000.00"
,,,05/06/2026,,771,,"21,150.00"
,,,05/06/2026,,"1,853.2",,"28,560.00"
,,,05/06/2026,,,,"1,200.00"
,,,05/06/2026,,2575,,"14,200.00"
